"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT05","WT08"
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-05",,,"0.21",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-06",,,"0.12",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-07",,,"0.34",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-08",,,"0.03",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-09",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-10",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-11",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-12",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-13",,,"0.51",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-14",,,"1.40",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-15",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-16",,,"0.30",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-17",,,"0.30",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-18",,,"0.11",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-19",,,"0.32",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-20",,,"0.33",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-21",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-22",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-23",,,"0.35",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-24",,,"0.18",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-25",,,"0.05",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-26",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-27",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-02-28",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-01",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-02",,,"0.33",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-03",,,"0.96",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-04",,,"0.10",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-05",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-06",,,"0.17",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-07",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-08",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-09",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-10",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-11",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-12",,,"0.05",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-13",,,"2.07",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-14",,,"0.08",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-15",,,"0.78",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-16",,,"0.21",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-17",,,"0.93",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-18",,,"0.26",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-19",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-20",,,"0.68",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-21",,,"0.31",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-22",,,"0.65",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-23",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-24",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-25",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-26",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-27",,,"0.48",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-28",,,"1.16",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-29",,,"0.16",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-30",,,"0.18",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-03-31",,,"0.23",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-01",,,"0.78",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-02",,,"0.39",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-03",,,"0.11",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-04",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-05",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-06",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-07",,,"0.55",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-08",,,"0.20",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-09",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-10",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-11",,,"0.08",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-12",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-13",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-14",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-15",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-16",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-17",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-18",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-19",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-20",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-21",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-22",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-23",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-24",,,"0.04",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-25",,,"0.25",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-26",,,"0.13",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-27",,,"0.20",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-29",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-04-30",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-01",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-02",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-03",,,"0.11",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-04",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-05",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-06",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-07",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-08",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-09",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-10",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-11",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-12",,,"0.57",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-13",,,"0.04",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-14",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-15",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-16",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-17",,,"0.03",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-18",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-19",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-20",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-21",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-22",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-23",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-24",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-25",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-26",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-27",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-28",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-29",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-30",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-05-31",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-01",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-02",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-03",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-04",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-05",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-06",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-07",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-08",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-09",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-10",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-11",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-12",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-13",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-14",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-15",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-16",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-17",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-18",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-19",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-20",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-21",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-22",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-23",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-24",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-25",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-26",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-27",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-28",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-29",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-06-30",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-01",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-02",,,"0.03",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-03",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-04",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-05",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-06",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-07",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-08",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-09",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-11",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-12",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-13",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-14",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-15",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-16",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-17",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-18",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-19",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-20",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-21",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-23",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-24",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-25",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-26",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-27",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-28",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-29",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-30",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-07-31",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-01",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-02",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-03",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-04",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-05",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-06",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-07",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-08",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-09",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-10",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-11",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-12",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-13",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-14",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-15",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-16",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-17",,,"0.05",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-18",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-19",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-20",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-21",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-22",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-23",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-24",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-25",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-26",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-27",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-28",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-29",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-30",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-08-31",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-01",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-02",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-03",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-04",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-05",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-06",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-07",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-08",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-09",,,"0.47",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-10",,,"0.04",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-11",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-12",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-13",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-14",,,"0.03",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-15",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-16",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-17",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-18",,,"0.03",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-19",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-20",,,"0.24",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-21",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-22",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-23",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-24",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-25",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-26",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-27",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-28",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-29",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-09-30",,,"0.84",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-01",,,"0.12",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-02",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-03",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-04",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-05",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-06",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-07",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-08",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-09",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-10",,,"0.58",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-11",,,"0.45",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-12",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-13",,,"0.59",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-14",,,"0.37",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-15",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-16",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-17",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-18",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-19",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-20",,,"0.03",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-21",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-22",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-23",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-24",,,"0.02",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-25",,,"0.35",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-26",,,"0.74",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-27",,,"0.53",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-28",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-29",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-30",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-10-31",,,"0.00","0.0",,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-11-01",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-11-02",,,"0.35",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-11-03",,,"0.01",,,,,,,,,,,
"US1CAHM0035","40.7642","-124.1476","59.1","2025-11-04",,,"0.44",,,,,,,,,,,
